c1_exemplar,b1_exemplar,a1_exemplar,c2_exemplar,c3_exemplar,a2_exemplar,mastery_criterion,b3_exemplar,a3_exemplar,b2_exemplar,target_category_required,sample_category,target_category_wrong_2,required_response,target_category_wrong_1,trial_description,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,response.keys,response.corr,response.rt,participant,gender,age,frameRate,expName,date,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c2,a2,c3,left,c1,ac,0,0,0,0,0,0,0,12,left,1,1.47451305389,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c1,a1,c3,down,c2,ac,0,0,0,0,0,1,1,11,down,1,0.52051782608,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b1,a1,b3,left,b2,ab,0,0,0,0,0,2,2,0,left,1,0.469264030457,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c1,a1,c3,left,c2,ac,0,0,0,0,0,3,3,9,left,1,0.536012887955,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b2,a2,b3,left,b1,ab,0,0,0,0,0,4,4,3,left,1,0.721768140793,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b3,a3,b2,left,b1,ab,0,0,0,0,0,5,5,6,left,1,0.654689073563,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b3,a3,b2,down,b1,ab,0,0,0,0,0,6,6,8,down,1,0.653846979141,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b2,a2,b3,right,b1,ab,0,0,0,0,0,7,7,4,right,1,0.6213991642,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c3,a3,c2,right,c1,ac,0,0,0,0,0,8,8,16,right,1,0.804838895798,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b1,a1,b3,down,b2,ab,0,0,0,0,0,9,9,2,down,1,0.536989927292,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c2,a2,c3,right,c1,ac,0,0,0,0,0,10,10,13,right,1,0.65364408493,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c2,a2,c3,down,c1,ac,0,0,0,0,0,11,11,14,down,1,0.604233980179,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b3,a3,b2,right,b1,ab,0,0,0,0,0,12,12,7,right,1,0.587109088898,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c3,a3,c2,down,c1,ac,0,0,0,0,0,13,13,17,down,1,0.55300617218,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c1,a1,c3,right,c2,ac,0,0,0,0,0,14,14,10,right,1,0.604390144348,,,,59.821546747,MTS - OtM 3x3,2016_Apr_15_1504,
